,date,flyer,title,body,url
12,Sab 28.11.2020,Interpretaciones.,En el Banco Central también se inclinan a pensar que la escapada del dólar es “una cuestión cultural”,,https://www.clarin.com/economia/banco-central-inclinan-pensar-escapada-dolar-cuestion-cultural-_0_pcr_wEMlT.html
13,Sab 28.11.2020,Ajuste en el gasto previsional.,"Con la nueva fórmula y el aumento “a cuenta”, las jubilaciones sufrirán de arranque una pérdida extra",,https://www.clarin.com/economia/nueva-formula-aumento-cuenta-jubilaciones-sufriran-arranque-perdida-extra_0_UdhJt-hsq.html
14,Sab 28.11.2020,En foco.,Los manejos oscuros con el dólar oficial y cuánto queda del superávit,,https://www.clarin.com/economia/manejos-oscuros-dolar-oficial-queda-superavit_0_7VLAbRG_Z.html
15,Sab 28.11.2020,Foco económico.,El discurso de Martín Guzmán que descoloca al kirchnerismo,,https://www.clarin.com/economia/discurso-martin-guzman-descoloca-kirchnerismo_0_LhSl9zz0K.html
16,Sab 28.11.2020,Empalme con la nueva fórmula.,Jubilados: el aumento del 5% es a cuenta del que se otorgará en marzo de 2021,,https://www.clarin.com/economia/jubilados-aumento-5-cuenta-otorgara-marzo-2021_0_8pDFIaWEZ.html
17,Sab 28.11.2020,Entretelas de la política.,La hora de los tuneleros,,https://www.clarin.com/economia/hora-tuneleros_0_OTaj_ZuBF.html
18,Sab 28.11.2020,“Son la diferencia entre exportar o no hacerlo”.,Autos: Renault pide eliminar el 5% de retenciones a las exportaciones,,https://www.clarin.com/economia/autos-renault-pide-eliminar-5-retenciones-exportaciones_0_64f667ePT.html
19,Sab 28.11.2020,Innovación argentina.,"Nace una nueva agricultura, más sustentable y con mejores rindes",,https://www.clarin.com/rural/nace-nueva-agricultura-sustentable-mejores-rindes_0_OPaRzsPPY.html
20,Sab 28.11.2020,Recursos Humanos.,Trabajos del futuro: los 7 puestos que están creando las empresas,,https://www.clarin.com/economia/trabajos-futuro-5-puestos-llegando-empresas_0_cKNsU4YPu.html
21,Vie 27.11.2020,Estadísticas.,"Tras 15 años, el Indec arranca este lunes un censo a firmas, autónomos y monotributistas",,https://www.clarin.com/economia/15-anos-indec-arranca-lunes-censo-firmas-autonomos-monotributistas_0_KBWyLS__e.html
22,Vie 27.11.2020,Informe del Banco Central.,"A pesar del súper cepo, en octubre las reservas del Banco Central cayeron en más de U$S 1.500 millones",,https://www.clarin.com/economia/pesar-super-cepo-octubre-reservas-banco-central-cayeron-s-1-500-millones_0_Avm5FGg6x.html
23,Vie 27.11.2020,Canal principal de las exportaciones.,Hidrovía: el ministerio de Transporte definirá la nueva licitación,,https://www.clarin.com/rural/hidrovia-ministerio-transporte-definira-nueva-licitacion_0_4889dnAm4.html
24,Vie 27.11.2020,Cruce por los recursos.,Estalló la guerra entre el Banco Central y Rodríguez Larreta por el impuesto sobre las Leliq que quiere cobrar el gobierno porteño,,https://www.clarin.com/economia/banco-central-advirtio-rodriguez-larreta-desista-aplicar-impuesto-leliq_0_XbdP-QGh3.html
25,Vie 27.11.2020,Super cepo cambiario.,"Dólar ahorro: en 2020 los argentinos compraron US$ 3.500 millones, el monto más bajo desde 2014",,https://www.clarin.com/economia/dolar-ahorro-2020-argentinos-compraron-us-3-500-millones-monto-2014_0_1_9YzO6SE.html
26,Vie 27.11.2020,Proyecto oficial.,Cuánto deberían pagar los herederos de Diego Maradona de impuesto a la Riqueza,,https://www.clarin.com/economia/deberian-pagar-herederos-diego-maradona-impuesto-riqueza_0_6dirF8Jd5.html
27,Vie 27.11.2020,Homenaje.,Diego Maradona tendrá una estatua en el aeropuerto de Ezeiza,,https://www.clarin.com/economia/confirman-estatua-maradona-aeropuerto-ezeiza_0_btsoeL6vw.html
28,Vie 27.11.2020,Cambio de horario.,Los bancos atenderían de 8 a 13 en la Provincia durante el verano,,https://www.clarin.com/economia/bancos-atenderian-8-13-provincia-verano_0_TGBhqKe9F.html
29,Vie 27.11.2020,La situación de la industria.,"UIA: ""Queremos discutir cepos a la actividad laboral y medidas de disuasión a las inversiones""",,https://www.clarin.com/economia/uia-queremos-discutir-cepos-actividad-laboral-medidas-disuasion-inversiones-_0_5Riz5E6mb.html
30,Vie 27.11.2020,Mercado cambiario.,El dólar blue bajó por sexto día consecutivo y se vendió a $ 156,,https://www.clarin.com/economia/dolar-blue-baja-sexto-dia-consecutivo-vende-155_0_PFVjwpnIS.html
31,Vie 27.11.2020,Sin definiciones.,Preocupación de las estaciones de GNC por el Plan Gas,,https://www.clarin.com/economia/preocupacion-estaciones-gnc-plan-gas_0_yrAZIfV8X.html
32,Vie 27.11.2020,Todos los precios.,Dólar hoy: a cuánto cotizan el oficial y sus diferentes tipos de cambio este viernes 27 de noviembre,,https://www.clarin.com/economia/dolar-hoy-cotizan-oficial-diferentes-tipos-cambio-viernes-27-noviembre_0_COGd7kATg.html
33,Vie 27.11.2020,Fallo clave.,Jubilados: declaran inconstitucional los aumentos por decreto,,https://www.clarin.com/economia/jubilados-declaran-inconstitucional-aumentos-decreto_0_wy4OTrV0h.html
34,Vie 27.11.2020,Divisa Internacional.,Dólar blue hoy: a cuánto cotiza este viernes 27 de noviembre,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-viernes-27-noviembre_0_0R25AGHXY.html
35,Vie 27.11.2020,Consumo masivo.,Cambios de hábito: la holandesa Makro invirtió $ 850 millones en Benavidez,,https://www.clarin.com/economia/cambios-habito-holandesa-makro-invirtio-850-millones-benavidez_0_cbRs9rtA0.html
36,Jue 26.11.2020,La presión sobre la inflación.,El Banco Central avisó: los precios subirán por las paritarias y los descongelamientos,,https://www.clarin.com/economia/banco-central-aviso-precios-subiran-paritarias-descongelamientos_0_lGllw_wsN.html
37,Jue 26.11.2020,Frente financiero.,Tibia respuesta del mercado a una colocación de Guzmán en pesos,,https://www.clarin.com/economia/tibia-respuesta-mercado-colocacion-guzman-pesos_0_35iKQlLs2.html
38,Jue 26.11.2020,Negociación con Washington.,Economistas esperan que el plan con el FMI ayude a mejorar las expectativas,,https://www.clarin.com/economia/economistas-esperan-plan-fmi-ayude-mejorar-expectativas_0_I9QgZRr2Q.html
39,Jue 26.11.2020,El consumo en setiembre.,Supermercados: se desacelera la caída de ventas y crece la modalidad on line,,https://www.clarin.com/economia/supermercados-desacelera-caida-ventas-crece-modalidad-on-line_0_7xePwqesX.html
40,Jue 26.11.2020,Mercado cambiario.,El dólar blue bajó a $ 157 y el dólar ahorro ya cotiza a $ 142,,https://www.clarin.com/economia/dolar-blue-abre-158-dolar-ahorro-cotiza-142_0_ZTrmzZGKE.html
41,Jue 26.11.2020,Pocas escrituras.,Propiedades en Capital: cae la venta de inmuebles por 29 mes consecutivo,,https://www.clarin.com/economia/propiedades-capital-cae-venta-inmuebles-29-mes-consecutivo_0_jCTjqh5M_.html
42,Jue 26.11.2020,Turismo.,"Estadías más largas, alquiler de autos y compras anticipadas: los nuevos hábitos en turismo",,https://www.clarin.com/economia/estadias-largas-alquiler-autos-compras-anticipadas-nuevos-habitos-turismo_0_rWKmLLfRz.html
43,Jue 26.11.2020,Mercado financiero.,Dólar: el Gobierno afloja el supercepo para intentar bajar la brecha cambiaria,,https://www.clarin.com/economia/dolar-gobierno-afloja-supercepo-intentar-bajar-brecha-cambiaria_0_shOF3JnYu.html
44,Jue 26.11.2020,Todos los precios.,Dólar hoy: a cuánto cotizan el oficial y sus diferentes tipos de cambio este jueves 26 de noviembre,,https://www.clarin.com/economia/dolar-hoy-cotizan-oficial-diferentes-tipos-cambio-jueves-26-noviembre_0_EEUVsPxxm.html
45,Jue 26.11.2020,La cadena de la carne.,Histórico: el consumo de carne aviar llega a los 50 kilos e iguala por primera vez al de carne vacuna,,https://www.clarin.com/rural/historico-consumo-pechuga-muslo-equiparo-bife-asado_0_H9hARcM8J.html
46,Jue 26.11.2020,Divisa Internacional.,Dólar blue hoy: a cuánto cotiza este jueves 26 de noviembre,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-jueves-26-noviembre_0_b3GJLPsru.html
47,Jue 26.11.2020,Informe del Indec.,"Maquinaria agrícola: hay un fuerte aumento en las ventas de pulverizadoras, tolvas y mixers",,https://www.clarin.com/rural/maquinaria-agricola-fuerte-aumento-ventas-pulverizadoras-tolvas-mixers_0_gynirTGug.html
48,Jue 26.11.2020,Tensión cambiaria.,Veranito financiero: ¿Se frena la salida de los depósitos en dólares?,,https://www.clarin.com/economia/veranito-financiero-frena-salida-depositos-dolares-_0_SLUEHCDee.html
49,Mie 25.11.2020,Iniciativa.,Empresarias impulsan una agenda por la igualdad,,https://www.clarin.com/economia/empresarias-impulsan-agenda-igualdad_0_JJKdWPmRI.html
50,Mie 25.11.2020,Criticas políticas y jurídicas.,"Ley de Fuego: el campo se siente atacado y critica el proyecto como ""mamarracho""",,https://www.clarin.com/rural/ley-fuego-campo-siente-atacado-critica-proyecto-mamarracho-_0_nR297mHLb.html
51,Mie 25.11.2020,Empresas que se van.,La salida de Falabella del país: cuatro candidatos para comprar Sodimac,,https://www.clarin.com/economia/salida-falabella-pais-candidatos-comprar-sodimac_0_gvrHuWvhg.html
52,Mie 25.11.2020,Decisión oficial.,Sorpresa en las empresas por la postergación del aumento de la luz,,https://www.clarin.com/economia/sorpresa-empresas-postergacion-aumento-luz_0_uoCaoP2sF.html
53,Mie 25.11.2020,Subas de hasta 60% para uno de cada cinco hogares.,El ajuste de tarifas será en marzo-abril y segmentado según la capacidad adquisitiva,,https://www.clarin.com/economia/ajuste-tarifas-marzo-abril-segmentado-capacidad-adquisitiva_0_R4MpDRJH3.html
54,Mie 25.11.2020,El ex presidente del Banco Central.,"Redrado dijo que el nivel del dólar es ""inestable"" y eludió responder si le llevó un plan económico a Cristina Kirchner",,https://www.clarin.com/economia/redrado-dijo-nivel-dolar-inestable-eludio-responder-llevo-plan-economico-cristina-kirchner_0_STjzoK5xo.html
55,Mie 25.11.2020,Paritaria.,Sueldo del personal doméstico: gremios rechazan una suba el 24% ofrecida por los empleadores,,https://www.clarin.com/economia/emprendedores/sueldo-personal-domestico-gremios-rechazan-suba-24-ofrecida-empleadores_0_RzQ4GBANz.html
56,Mie 25.11.2020,Sectores de la economía.,Industria textil: entre la recuperación y las subas de precios,,https://www.clarin.com/economia/industria-textil-recuperacion-subas-precios_0_8OM2TTj2m.html
57,Mie 25.11.2020,Analistas privados.,Destacan que el acuerdo con el FMI debería incluir fondos frescos para reactivar la economía,,https://www.clarin.com/economia/destacan-acuerdo-fmi-deberia-incluir-fondos-frescos-reactivar-economia_0_r7SX7joTU.html
58,Mie 25.11.2020,La situación socio económica.,"Por la pandemia, el desempleo en la Ciudad de Buenos Aires saltó al 13,4%",,https://www.clarin.com/economia/pandemia-desempleo-ciudad-buenos-aires-salto-13-4-_0_xa7z19Rtv.html
59,Mie 25.11.2020,Jornada virtuales del Banco Central.,Miguel Pesce admitió que la tasa de interés que se pagó a los ahorristas solo compensó la inflación,,https://www.clarin.com/economia/miguel-pesce-admitio-tasa-interes-pago-ahorristas-solo-compenso-inflacion_0_74h-hCaIf.html
60,Mie 25.11.2020,Servicios.,"El Gobierno confirma que las tarifas se descongelarán ""desde marzo o abril"" y que habrá aumentos segmentados",,https://www.clarin.com/economia/gobierno-confirma-tarifas-descongelaran-marzo-abril-aumentos-segmentados_0_f1tp7AjJX.html
61,Mie 25.11.2020,Jornadas virtuales del Banco Central.,Martín Guzmán reconoció que la emisión monetaria presiona sobre el dólar y la inflación,,https://www.clarin.com/economia/martin-guzman-reconocio-emision-monetaria-presiona-dolar-inflacion_0_MfeIyweG9.html
62,Mie 25.11.2020,Encuesta del IAEF.,"Aunque ven repunte en las ventas, 36% de los empresarios dicen que necesitarán menos mano de obra en 2021",,https://www.clarin.com/economia/ven-repunte-ventas-36-empresarios-dicen-necesitaran-mano-obra-2021_0_r5GEbVbyK.html
63,Mie 25.11.2020,La situación previsional.,"La plata de los jubilados: una historia de 70 años de desvíos, licuaciones y vaciamientos",,https://www.clarin.com/economia/caja-jubilados-historia-70-anos-desvios-licuaciones-vaciamientos_0_qAEEy7ZB7.html
64,Mie 25.11.2020,Negociación con el Fondo.,"""La brecha del dólar le preocupa al FMI"", admite el Gobierno",,https://www.clarin.com/economia/-brecha-dolar-preocupa-fmi-admite-gobierno_0_kCBOGKYxa.html
65,Mie 25.11.2020,Todos los precios.,Dólar hoy: a cuánto cotizan el oficial y sus diferentes tipos de cambio este miércoles 25 de noviembre,,https://www.clarin.com/economia/dolar-hoy-cotizan-oficial-diferentes-tipos-cambio-miercoles-25-noviembre_0_pOiV03p3e.html
66,Mie 25.11.2020,Divisa Internacional.,Dólar blue hoy: a cuánto cotiza este miércoles 25 de noviembre,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-miercoles-25-noviembre_0_qaF1VvnbD.html
67,Mie 25.11.2020,Reestructuraciones.,Deuda en dólares: Neuquén llegó a un acuerdo y es la tercera provincia en cerrar un canje,,https://www.clarin.com/economia/deuda-dolares-neuquen-llego-acuerdo-bonistas-tercer-provincia-cerrar-canje_0_VfFswqtss.html
68,Mie 25.11.2020,Liderados por Pablo Biró.,Se unifica el gremio de los pilotos: APLA absorbe a sus colegas de Austral,,https://www.clarin.com/economia/unifica-gremio-pilotos-apla-absorbe-colegas-austral_0_h0bgmuOZH.html
69,Mie 25.11.2020,Fast Food.,Las cadenas se adaptan a la pandemia: Mostaza lanza un nuevo sistema de franquicias con más delivery y take away,,https://www.clarin.com/economia/cadenas-adaptan-pandemia-mostaza-lanza-nuevo-sistema-franquicias-delivery-take-away_0_5-9aWs5LX.html
70,Mie 25.11.2020,Boletín Oficial.,Jubilados: el Gobierno oficializó el aumento del 5% para diciembre,,https://www.clarin.com/economia/jubilaciones-gobierno-oficializo-aumento-5-diciembre_0_WyZnK5_pK.html
71,Mar 24.11.2020,La historia del reclamo.,Demanda por la expropiación de YPF: una pelea que puede costarle al Estado hasta US$ 14 mil millones,,https://www.clarin.com/economia/burford-historia-juicio_0_pCQ7d9G7D.html
72,Mar 24.11.2020,Recorrido de Clarín.,"Advierten sobre faltantes en medicamentos, alimentos y materiales para la Construcción",,https://www.clarin.com/economia/advierten-faltantes-medicamentos-alimentos-materiales-construccion_0_AbzkFhU5-.html
73,Mar 24.11.2020,Lanzamiento de la iniciativa Con Argentina.,"Argentina, un país estancado: un amplio grupo de expertos debate cómo salir",,https://www.clarin.com/economia/argentina-pais-estancado-amplio-grupo-expertos-debate-salir_0_BoSThGfbB.html
74,Mar 24.11.2020,Reclamo millonario por la expropiación.,"El juicio por YPF: a pedido del Gobierno argentino, la justicia de Nueva York citó a los Eskenazi",,https://www.clarin.com/economia/jucio-ypf-pedido-gobierno-argentino-justicia-nueva-york-cita-eskenazi_0_KNaMWbOwx.html
75,Mar 24.11.2020,Foco Económico.,Carrera insólita por los billetes de $1.000 en un fin de año atípico,,https://www.clarin.com/economia/foco-economico-carrera-insolita-billetes-1-000-fin-ano-atipico_0_yzoTvu7GK.html
76,Mar 24.11.2020,Puja por los recursos.,Tensión en el sistema financiero por el impuesto sobre las Leliq que impulsa el gobierno porteño,,https://www.clarin.com/economia/tension-sistema-financiero-impuesto-leliq-impulsa-gobierno-porteno_0_LyGBf-xMy.html
77,Mar 24.11.2020,Arrancó el Plan Gas.,El Gobierno lanzó la licitación para comprar gas durante los próximos 4 años,,https://www.clarin.com/economia/gobierno-lanzo-licitacion-comprar-gas-proximos-4-anos_0_WfSp2qZxI.html
78,Mar 24.11.2020,Balanza comercial.,"Por la brecha cambiaria, las exportaciones cayeron 21% en octubre, el derrumbe más fuerte en cinco años",,https://www.clarin.com/economia/brecha-cambiaria-exportaciones-cayeron-21-octubre-derrumbe-fuerte-anos_0_8bIeCPa0n.html
79,Mar 24.11.2020,Inflación y consumo.,"Cámara de la Construcción: ""No es grato aplicar la ley de abastecimiento, pero hay que usar todas las herramientas disponibles""",,https://www.clarin.com/economia/camara-construccion-grato-aplicar-ley-abastecimiento-usar-todas-herramientas-disponibles-_0_JLvA-Vl6I.html
80,Mar 24.11.2020,Datos del Indec.,"La actividad económica desacelera su caída: la contracción fue 6,9% en septiembre",,https://www.clarin.com/economia/actividad-economica-cayo-6-9-septiembre_0_f1HLg1UZJ.html
81,Mar 24.11.2020,Récord del Dow Jones.,El buen clima en los mercados impulsa las acciones argentinas hasta 9% en Wall Street,,https://www.clarin.com/economia/buen-clima-mercados-impulsa-acciones-argentinas-9-wall-street_0_P8ouHe4U2.html
82,Mar 24.11.2020,Mercado cambiario.,El dólar blue bajó a $ 160 y las acciones argentinas subieron fuerte en Wall Street,,https://www.clarin.com/economia/dolar-blue-llega-162-acciones-bancos-argentinos-suben-fuerte-wall-street_0_0LBP-Ku1o.html
83,Mar 24.11.2020,A la espera de Joe Biden.,Aranceles al biodiésel: el Gobierno no descarta denunciar a Estados Unidos ante la OMC,,https://www.clarin.com/economia/aranceles-biodiesel-gobierno-descarta-denunciar-unidos-omc_0_RmOQSPmeI.html
84,Mar 24.11.2020,Aporte estatal.,Confirman el monto del bono para beneficiarios de Potenciar Trabajo: cuáles son todas las ayudas sociales sin IFE 4,,https://www.clarin.com/economia/confirman-monto-bono-beneficiarios-potenciar-trabajo-todas-ayudas-sociales-ife-4_0_edhIATjtr.html
85,Mar 24.11.2020,¿Recuperación?.,"Por primera vez en el año, crece la venta de inmuebles en la provincia de Buenos Aires",,https://www.clarin.com/economia/primera-vez-ano-crece-venta-inmuebles-provincia-buenos-aires_0_4dhaocV6Y.html
86,Mar 24.11.2020,Multimillonarios.,"En la peor crisis económica de la historia, los 10 más ricos del mundo ganaron US$ 267 mil millones: cómo les fue a los argentinos Rocca y Galperin",,https://www.clarin.com/economia/peor-crisis-economica-historia-10-ricos-mundo-ganaron-us-267-mil-millones-argentinos-rocca-galperin_0_rc0ya3F8_.html
87,Mar 24.11.2020,Cuentas oficiales.,La deuda pública que más crece es la que ajusta por inflación,,https://www.clarin.com/economia/deuda-publica-crece-ajusta-inflacion_0_C2Ks9k8bA.html
88,Mar 24.11.2020,Mercados agrícolas.,"Pese a que caerá la producción, la soja y el maíz aportarían un 14% más de divisas por el aumento del valor en el mercado internacional",,https://www.clarin.com/rural/pese-caera-produccion-soja-maiz-aportarian-14-divisas-aumento-valor-mercado-internacional_0_oxCHf0_sx.html
89,Mar 24.11.2020,Contracara.,"Pese a la crisis política, Perú consigue crédito cuatro veces más barato que Argentina",,https://www.clarin.com/economia/peru-crisis-politica-respaldo-mercado-coloco-bono-100-anos-tasa-menor-4-_0_QCGImOMSK.html
90,Mar 24.11.2020,Divisa Internacional.,Dólar blue hoy: a cuánto cotiza este martes 24 de noviembre,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-martes-24-noviembre_0_49412-_FY.html
91,Mar 24.11.2020,"Líder en yogures, quesos y aguas.",Danone decidirá a mediados de 2021 si se queda o se va del país,,https://www.clarin.com/economia/danone-decidira-mediados-2021-queda-va-pais_0_UY-cK0oxD.html
92,Lun 23.11.2020,Futuro económico.,"Quién es Janet Yellen , la elegida por Joe Biden como secretaria del Tesoro que será clave para Argentina",,https://www.clarin.com/mundo/janet-yellen-elegida-joe-biden-secretaria-tesoro-clave-argentina_0_RN76RKBsu.html
93,Lun 23.11.2020,Informe de organismos internacionales.,"La inflación argentina: en el top ten mundial, con países como Zimbabwe y Sudán",,https://www.clarin.com/economia/inflacion-argentina-top-ten-mundial-paises-zimbabwe-sudan_0_qutgQWkh_.html
94,Lun 23.11.2020,Impacto en el bolsillo.,Naftas y carnes suman presión a la inflación que cerrará el año en torno a 37%,,https://www.clarin.com/economia/naftas-carnes-suman-presion-inflacion-cerrara-ano-torno-37-_0_fUWcd9T5A.html
95,Lun 23.11.2020,Mercados financieros.,Las acciones argentinas subieron con fuerza en Wall Street y bajó el riesgo país,,https://www.clarin.com/economia/acciones-argentinas-subieron-fuerza-wall-street-riesgo-pais_0_3aIhNaxZK.html
96,Lun 23.11.2020,Plan para el turismo.,Las ventas por el programa PreViaje ya llegan a $ 5.000 millones,,https://www.clarin.com/economia/ventas-programa-previaje-llegan-5-000-millones_0_JM9wmZRuS.html
97,Lun 23.11.2020,Inflación.,Aumentan un 7% los cigarrillos: a qué marcas afecta y cuáles son los nuevos precios,,https://www.clarin.com/economia/aumentan-7-cigarrillos-marcas-afecta-nuevos-precios_0_nfQOH4IOH.html
98,Lun 23.11.2020,Proyecciones privadas.,De la mano del dólar blue la construcción busca salvar la ropa ante el impacto de la pandemia,,https://www.clarin.com/economia/mano-dolar-blue-construccion-busca-salvar-ropa-impacto-pandemia_0_j0jd5yYWQ.html
99,Lun 23.11.2020,Commodities.,La soja sube 5% en Chicago en la apertura de la semana y llega a US$ 439,,https://www.clarin.com/economia/soja-sube-5-chicago-apertura-semana-llega-us-439_0_kx8avaNtA.html
100,Lun 23.11.2020,Informe de una consultora.,"La mediana de los salarios formales, cerca de la línea de pobreza",,https://www.clarin.com/economia/mitad-salarios-debajo-linea-pobreza_0_LibOu0yTw.html
101,Lun 23.11.2020,Accidente y tragedia.,La muerte de Jorge Brito: confirman que el helicóptero impactó con los cables de una tirolesa antes de caer,,https://www.clarin.com/sociedad/muerte-jorge-brito-confirman-helicoptero-impacto-cables-tirolesa-caer_0_XHk9AaYUB.html
102,Lun 23.11.2020,Divisa Internacional.,Dólar blue hoy: a cuánto cotiza este lunes 23 de noviembre,,https://www.clarin.com/economia/dolar-blue-hoy-cotiza-lunes-23-noviembre_0_m4-YtuQVo.html
103,Lun 23.11.2020,Golpe al bolsillo.,"Tras el nuevo aumento de YPF, empresarios afirman que faltan más subas de las naftas antes de fin de año",,https://www.clarin.com/economia/nuevo-aumento-ypf-empresarios-afirman-faltan-subas-naftas-fin-ano_0_mnrCnYCOm.html
104,Lun 23.11.2020,Bancos de Desarrollo.,"Ignacio de Mendiguren reclamó al sistema financiero ""salir de la lógica de la especulación""",,https://www.clarin.com/economia/finanzas/ignacio-mendiguren-reclamo-sistema-financiero-salir-logica-especulacion-_0_QOoytO50KF.html
105,Lun 23.11.2020,Trámites impositivos.,Contribuyentes cumplidores: lo que hay que saber para acceder a los beneficios,,https://www.clarin.com/economia/contribuyentes-cumplidores-saber-acceder-beneficios_0_2tjUbY_Yw.html
106,Lun 23.11.2020,Emplea a 1.000 personas.,"El aeropuerto de El Palomar, rehén de las pujas internas dentro del propio oficialismo",,https://www.clarin.com/economia/palomar-simbolo-interna-dentro-gobierno_0_tVPFZq-PT.html
107,Dom 22.11.2020,Presión a la inflación.,"YPF subió el precio de los combustibles en un 2,9% en Buenos Aires",,https://www.clarin.com/economia/ypf-subio-precio-combustibles-2-9-buenos-aires_0_oyFbC_XBs.html
108,Dom 22.11.2020,Representante argentino ante el Fondo.,"Sergio Chodos: ""El FMI no nos pidió que devaluemos""",,https://www.clarin.com/economia/sergio-chodos-fmi-pidio-devaluemos-_0_K--QB2S1b.html
109,Dom 22.11.2020,Frente cambiario.,Reservas en la cuerda floja: el récord de la soja le da un poco de aire al Banco Central,,https://www.clarin.com/economia/reservas-cuerda-floja-record-soja-da-aire-banco-central_0_f_qVvrC-g.html
110,Dom 22.11.2020,Escenario post pandemia.,"Para los economistas, el ajuste en las cuentas fiscales ya comenzó",,https://www.clarin.com/economia/economistas-ajuste-cuentas-fiscales-comenzo_0_7gacqTika.html
111,Dom 22.11.2020,Pandemia y economía.,El 71% de las industrias pymes tienen problemas para conseguir insumos,,https://www.clarin.com/economia/71-industrias-pymes-problemas-conseguir-insumos_0_cBMXGtpWp.html
112,Dom 22.11.2020,Accidente trágico.,La muerte de Jorge Brito: así fue el operativo para rescatar los restos del helicóptero,,https://www.clarin.com/economia/muerte-jorge-brito-operativo-rescatar-restos-helicoptero_0_2LS_1Pitj.html
113,Dom 22.11.2020,Recesión económica interminable.,"Qué pasa en el mundo laboral:  avanza el trabajo precario e informal, crece el empleo público y cae el privado",,https://www.clarin.com/economia/pasa-mundo-laboral-avanza-trabajo-precario-informal-crece-empleo-publico-cae-privado_0_nx4Lnplms.html
114,Dom 22.11.2020,Medidas de ayuda.,Créditos UVA: las cuotas seguirán congeladas hasta el 31 de enero de 2021,,https://www.clarin.com/economia/creditos-uva-cuotas-seguiran-congeladas-31-enero-2021_0_hex5gI6KU.html
115,Dom 22.11.2020,Accidente trágico.,Familiares y amigos despidieron los restos de Jorge Brito en un cementerio de Pilar,,https://www.clarin.com/economia/familiares-amigos-despiden-restos-jorge-brito-cementerio-pilar_0_zSo755Yl2.html
116,Dom 22.11.2020,Avicultura.,El efecto pandemia golpea al pollo: cayeron las exportaciones y el precio en el mercado interno,,https://www.clarin.com/rural/efecto-pandemia-golpea-pollo-cayeron-exportaciones-precio-mercado-interno_0_XjWYAXLeq.html
117,Dom 22.11.2020,El color del dinero.,Código rojo para el negocio del socorro médico: la historia detrás de las emergencias,,https://www.clarin.com/economia/codigo-rojo-negocio-socorros-medicos_0_dBcF3H5Uy.html
118,Dom 22.11.2020,Ranking Merco 2020.,"Ranking Merco 2020: Marcos Galperin, Luis Pagani y los líderes con mejor imagen",,https://www.clarin.com/economia/marcos-galperin-luis-pagani-lideres-mejor-imagen_0_tmCEiFm__.html
